brand,model,vehicle_age,km_driven,fuel_type,transmission_type,mileage,engine,seats,selling_price
Maruti,Alto,9,120000,Petrol,Manual,19.7,796,5,120000
Hyundai,Grand,5,20000,Petrol,Manual,18.9,1197,5,550000
Hyundai,i20,11,60000,Petrol,Manual,17,1197,5,215000
Maruti,Alto,9,37000,Petrol,Manual,20.92,998,5,226000
Ford,Ecosport,6,30000,Diesel,Manual,22.77,1498,5,570000
Maruti,Wagon R,8,35000,Petrol,Manual,18.9,998,5,350000
Hyundai,i10,8,40000,Petrol,Manual,20.36,1197,5,315000
Maruti,Wagon R,3,17512,Petrol,Manual,20.51,998,5,410000
Hyundai,Venue,2,20000,Petrol,Automatic,18.15,998,5,1050000
Maruti,Swift,4,28321,Petrol,Manual,16.6,1197,5,511000
Hyundai,Verna,8,65278,Diesel,Manual,22.32,1582,5,425000
Renault,Duster,5,50000,Diesel,Manual,19.64,1461,5,750000
Mini,Cooper,4,6000,Petrol,Automatic,14.41,1998,5,3250000
Maruti,Ciaz,5,76000,Diesel,Manual,28.09,1248,5,650000
Maruti,Swift,5,20000,Diesel,Manual,25.2,1248,5,627000
Mercedes-Benz,C-Class,7,65000,Diesel,Automatic,19.27,2143,5,1425000
Maruti,Swift,7,62200,Diesel,Manual,28.4,1248,5,425000
Toyota,Innova,8,110000,Diesel,Manual,12.99,2494,8,605000
Maruti,Baleno,6,20000,Petrol,Manual,21.4,1197,5,600000
Maruti,Swift Dzire,5,40000,Petrol,Manual,20.85,1197,5,575000
Volkswagen,Vento,8,47000,Petrol,Manual,16.09,1598,5,425000
Maruti,Alto,8,25000,Petrol,Manual,20.92,998,5,230000
Hyundai,Creta,2,15000,Diesel,Manual,19.67,1582,5,1225000
Honda,City,6,50000,Petrol,Manual,17.4,1497,5,750000
Mahindra,Bolero,10,25000,Diesel,Manual,13.6,2523,7,350000
Maruti,Swift Dzire,6,90000,Diesel,Manual,26.59,1248,5,600000
Maruti,Swift Dzire,8,45000,Diesel,Manual,26.59,1248,5,390000
Honda,City,14,77253,Petrol,Manual,17.7,1497,5,145000
Hyundai,i20,3,25000,Petrol,Manual,17.19,1197,5,700000
Toyota,Fortuner,8,110000,Diesel,Manual,13,2982,7,1150000
Renault,KWID,4,30000,Petrol,Manual,23.01,999,5,340000
Honda,Amaze,5,39993,Petrol,Manual,18.6,1199,5,465000
Hyundai,Santro,12,80000,Petrol,Manual,17.92,1086,5,125000
